generic_name,status,pmid,label,year,first_author,title,pub_types,reason,url
cenobamate,rejected,35168142,,2022,Brandt,Efficacy and safety of adjunctive cenobamate: Post-hoc analysis of study C017 in patients grouped by mechanism of action of concomitant antiseizure medications.,Journal Article; Randomized Controlled Trial,excluded secondary/non-primary title,https://pubmed.ncbi.nlm.nih.gov/35168142/
cenobamate,rejected,34670008,,2021,Yang,"Pharmacokinetics and safety of cenobamate, a novel antiseizure medication, in healthy Japanese, and an ethnic comparison with healthy non-Japanese.","Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",excluded secondary/non-primary title,https://pubmed.ncbi.nlm.nih.gov/34670008/
cenobamate,rejected,34254673,,2021,French,Long-term safety of adjunctive cenobamate in patients with uncontrolled focal seizures: Open-label extension of a randomized clinical study.,"Journal Article; Multicenter Study; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",excluded secondary/non-primary title,https://pubmed.ncbi.nlm.nih.gov/34254673/
cenobamate,rejected,33662894,,2021,Rosenfeld,"Efficacy of adjunctive cenobamate based on number of concomitant antiseizure medications, seizure frequency, and epilepsy duration at baseline: A post-hoc analysis of a randomized clinical study.","Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",excluded secondary/non-primary title,https://pubmed.ncbi.nlm.nih.gov/33662894/
cenobamate,rejected,33567400,,2021,Elizebath,Cenobamate treatment of focal-onset seizures: Quality of life and outcome during up to eight years of treatment.,Journal Article; Randomized Controlled Trial,excluded secondary/non-primary title,https://pubmed.ncbi.nlm.nih.gov/33567400/
clobazam,included,21956725,Ng2011,2011,Ng,"Randomized, phase III study results of clobazam in Lennox-Gastaut syndrome.","Clinical Trial, Phase III; Journal Article; Multicenter Study; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",qualifying placebo-controlled randomized clinical trial report,https://pubmed.ncbi.nlm.nih.gov/21956725/
clobazam,rejected,40836528,,2025,Gorbenko,"Cannabidiol Lacks Direct Effect on Cortical Excitability: A Randomized, Double Blind, Placebo Controlled, 3-Way Crossover Trial.",Journal Article; Randomized Controlled Trial,drug term not in title,https://pubmed.ncbi.nlm.nih.gov/40836528/
clobazam,rejected,38356105,,2024,Moseley,"Efficacy and Tolerability of Adjunctive Brivaracetam in Patients with Focal-Onset Seizures on Specific Concomitant Antiseizure Medications: Pooled Analysis of Double-Blind, Placebo-Controlled Trials.","Randomized Controlled Trial; Journal Article; Research Support, Non-U.S. Gov't",drug term not in title,https://pubmed.ncbi.nlm.nih.gov/38356105/
clobazam,rejected,32652616,,2020,VanLandingham,"A Phase 2, Double-Blind, Placebo-Controlled Trial to Investigate Potential Drug-Drug Interactions Between Cannabidiol and Clobazam.","Clinical Trial, Phase II; Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",drug appears in title but not as primary intervention,https://pubmed.ncbi.nlm.nih.gov/32652616/
clobazam,rejected,31675621,,2019,Moseley,Pharmacokinetic interaction of brivaracetam on other antiepileptic drugs in adults with focal seizures: Pooled analysis of data from randomized clinical trials.,"Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",drug term not in title,https://pubmed.ncbi.nlm.nih.gov/31675621/
clobazam,rejected,30955420,,2019,Perry,Don't Fear the Reefer-Evidence Mounts for Plant-Based Cannabidiol as Treatment for Epilepsy.,Journal Article; Comment,drug term not in title,https://pubmed.ncbi.nlm.nih.gov/30955420/
